Entity,Code,Year,Maternal mortality ratio
Brazil,BRA,1990,194.28181
Brazil,BRA,1991,175.60631
Brazil,BRA,1992,169.7051
Brazil,BRA,1993,158.88841
Brazil,BRA,1994,146.64238
Brazil,BRA,1995,121.07412
Brazil,BRA,1996,110.06962
Brazil,BRA,1997,99.53553
Brazil,BRA,1998,89.93645
Brazil,BRA,1999,74.07847
Brazil,BRA,2000,68.400314
Brazil,BRA,2001,67.92029
Brazil,BRA,2002,72.37671
Brazil,BRA,2003,68.84275
Brazil,BRA,2004,69.773125
Brazil,BRA,2005,69.968445
Brazil,BRA,2006,71.323875
Brazil,BRA,2007,72.024796
Brazil,BRA,2008,70.488846
Brazil,BRA,2009,67.93384
Brazil,BRA,2010,63.855293
Brazil,BRA,2011,61.941
Brazil,BRA,2012,56.877464
Brazil,BRA,2013,60.86941
Brazil,BRA,2014,62.2825
Brazil,BRA,2015,62.176037
Brazil,BRA,2016,62.71436
Brazil,BRA,2017,59.70362
Brazil,BRA,2018,59.183395
Brazil,BRA,2019,60.735165
Brazil,BRA,2020,72.14754
Bulgaria,BGR,1990,23.429884
Bulgaria,BGR,1991,24.569798
Bulgaria,BGR,1992,22.47983
Bulgaria,BGR,1993,22.459116
Bulgaria,BGR,1994,25.670774
Bulgaria,BGR,1995,26.792465
Bulgaria,BGR,1996,20.846107
Bulgaria,BGR,1997,24.545675
Bulgaria,BGR,1998,21.217033
Bulgaria,BGR,1999,24.116333
Bulgaria,BGR,2000,21.934078
Bulgaria,BGR,2001,20.9894
Bulgaria,BGR,2002,18.549234
Bulgaria,BGR,2003,16.70329
Bulgaria,BGR,2004,15.12295
Bulgaria,BGR,2005,13.717779
Bulgaria,BGR,2006,11.822357
Bulgaria,BGR,2007,10.3847065
Bulgaria,BGR,2008,9.139503
Bulgaria,BGR,2009,9.936562
Bulgaria,BGR,2010,10.297136
Bulgaria,BGR,2011,8.242124
Bulgaria,BGR,2012,7.5487704
Bulgaria,BGR,2013,7.4041286
Bulgaria,BGR,2014,7.458355
Bulgaria,BGR,2015,7.5017962
Bulgaria,BGR,2016,7.1580596
Bulgaria,BGR,2017,7.0295987
Bulgaria,BGR,2018,7.167728
Bulgaria,BGR,2019,6.7299147
Bulgaria,BGR,2020,7.086025
Burundi,BDI,1990,1505.3638
Burundi,BDI,1991,1531.0144
Burundi,BDI,1992,1531.891
Burundi,BDI,1993,1300.333
Burundi,BDI,1994,1399.4873
Burundi,BDI,1995,1327.5352
Burundi,BDI,1996,1195.0441
Burundi,BDI,1997,1100.5349
Burundi,BDI,1998,969.87897
Burundi,BDI,1999,896.979
Burundi,BDI,2000,873.6498
Burundi,BDI,2001,823.0206
Burundi,BDI,2002,779.4431
Burundi,BDI,2003,779.01447
Burundi,BDI,2004,739.56274
Burundi,BDI,2005,712.7677
Burundi,BDI,2006,695.5516
Burundi,BDI,2007,676.16187
Burundi,BDI,2008,630.0197
Burundi,BDI,2009,618.3315
Burundi,BDI,2010,608.00806
Burundi,BDI,2011,575.35077
Burundi,BDI,2012,563.8558
Burundi,BDI,2013,554.728
Burundi,BDI,2014,526.5016
Burundi,BDI,2015,514.0307
Burundi,BDI,2016,508.4552
Burundi,BDI,2017,499.13336
Burundi,BDI,2018,517.9052
Burundi,BDI,2019,479.29013
Burundi,BDI,2020,494.4298
Colombia,COL,1990,108.4422
Colombia,COL,1991,107.88417
Colombia,COL,1992,106.535805
Colombia,COL,1993,105.27559
Colombia,COL,1994,105.40133
Colombia,COL,1995,96.6035
Colombia,COL,1996,97.54599
Colombia,COL,1997,98.631775
Colombia,COL,1998,100.42779
Colombia,COL,1999,94.19719
Colombia,COL,2000,92.63503
Colombia,COL,2001,94.13931
Colombia,COL,2002,93.12215
Colombia,COL,2003,82.65058
Colombia,COL,2004,82.35472
Colombia,COL,2005,81.785416
Colombia,COL,2006,81.716965
Colombia,COL,2007,83.07629
Colombia,COL,2008,72.894455
Colombia,COL,2009,71.33593
Colombia,COL,2010,70.56835
Colombia,COL,2011,70.60106
Colombia,COL,2012,70.59163
Colombia,COL,2013,70.30792
Colombia,COL,2014,69.87793
Colombia,COL,2015,70.00599
Colombia,COL,2016,70.08121
Colombia,COL,2017,71.44645
Colombia,COL,2018,63.146347
Colombia,COL,2019,65.44107
Colombia,COL,2020,74.7629
Congo,COG,1990,740.1973
Congo,COG,1991,779.9004
Congo,COG,1992,826.9872
Congo,COG,1993,786.1847
Congo,COG,1994,787.4919
Congo,COG,1995,758.1763
Congo,COG,1996,731.4258
Congo,COG,1997,966.6766
Congo,COG,1998,825.0482
Congo,COG,1999,729.75146
Congo,COG,2000,659.7867
